2026-04-05 09:25:30,216 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 2.7427
2026-04-05 09:25:43,672 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 2.6975
2026-04-05 09:25:57,133 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 2.6893
2026-04-05 09:26:10,595 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 2.9955
2026-04-05 09:26:24,057 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 2.5646
2026-04-05 09:26:37,521 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 2.6865
2026-04-05 09:26:58,778 - INFO - Batch 0 | Data: 0.054s | Step: 0.118s | Loss: 2.6319
2026-04-05 09:27:12,228 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 2.7014
2026-04-05 09:27:25,685 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 2.3811
2026-04-05 09:27:39,145 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 2.6705
2026-04-05 09:27:52,604 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 2.6171
2026-04-05 09:28:06,065 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 2.4636
2026-04-05 09:28:19,520 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 2.2975
2026-04-05 09:28:32,977 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 2.1691
2026-04-05 09:28:54,424 - INFO - Batch 0 | Data: 0.034s | Step: 0.117s | Loss: 2.3524
2026-04-05 09:29:07,873 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 2.2921
2026-04-05 09:29:21,330 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 2.3728
2026-04-05 09:29:34,784 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 2.5275
2026-04-05 09:29:48,241 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 2.4183
2026-04-05 09:30:01,697 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 2.2368
2026-04-05 09:30:15,153 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 2.2236
2026-04-05 09:30:28,610 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 2.2844
2026-04-05 09:30:50,414 - INFO - Batch 0 | Data: 0.037s | Step: 0.117s | Loss: 2.1575
2026-04-05 09:31:03,859 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 2.1447
2026-04-05 09:31:17,313 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 1.9906
2026-04-05 09:31:30,764 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 1.9841
2026-04-05 09:31:44,218 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 1.8004
2026-04-05 09:31:57,672 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 2.2395
2026-04-05 09:32:11,130 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 2.4371
2026-04-05 09:32:24,584 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 1.9016
2026-04-05 09:32:46,372 - INFO - Batch 0 | Data: 0.050s | Step: 0.118s | Loss: 1.8297
2026-04-05 09:32:59,818 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 1.8581
2026-04-05 09:33:13,270 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 1.7560
2026-04-05 09:33:26,726 - INFO - Batch 150 | Data: 0.000s | Step: 0.118s | Loss: 1.9440
2026-04-05 09:33:40,180 - INFO - Batch 200 | Data: 0.001s | Step: 0.117s | Loss: 1.6409
2026-04-05 09:33:53,632 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 1.7531
2026-04-05 09:34:07,085 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 2.1131
2026-04-05 09:34:20,540 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 1.7157
2026-04-05 09:34:42,202 - INFO - Batch 0 | Data: 0.058s | Step: 0.117s | Loss: 1.7006
2026-04-05 09:34:55,651 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 1.8391
2026-04-05 09:35:09,106 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 1.6005
2026-04-05 09:35:22,559 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 1.7528
2026-04-05 09:35:36,012 - INFO - Batch 200 | Data: 0.000s | Step: 0.118s | Loss: 1.6112
2026-04-05 09:35:49,466 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 1.6310
2026-04-05 09:36:02,921 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 1.6279
2026-04-05 09:36:16,372 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 1.5573
2026-04-05 09:36:38,338 - INFO - Batch 0 | Data: 0.049s | Step: 0.117s | Loss: 1.7931
2026-04-05 09:36:51,787 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 1.2341
2026-04-05 09:37:05,236 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 1.8625
2026-04-05 09:37:18,687 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 1.3715
2026-04-05 09:37:32,140 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 1.6300
2026-04-05 09:37:45,591 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 1.5094
2026-04-05 09:37:59,042 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 1.5112
2026-04-05 09:38:12,497 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 1.3961
2026-04-05 09:38:34,608 - INFO - Batch 0 | Data: 0.093s | Step: 0.117s | Loss: 1.1345
2026-04-05 09:38:48,058 - INFO - Batch 50 | Data: 0.001s | Step: 0.118s | Loss: 1.4174
2026-04-05 09:39:01,504 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 1.3801
2026-04-05 09:39:14,951 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 1.2955
2026-04-05 09:39:28,397 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 1.0103
2026-04-05 09:39:41,846 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 1.2732
2026-04-05 09:39:55,301 - INFO - Batch 300 | Data: 0.000s | Step: 0.118s | Loss: 1.3550
2026-04-05 09:40:08,757 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 1.0835
2026-04-05 09:40:30,322 - INFO - Batch 0 | Data: 0.047s | Step: 0.117s | Loss: 1.1189
2026-04-05 09:40:43,768 - INFO - Batch 50 | Data: 0.001s | Step: 0.117s | Loss: 1.4675
2026-04-05 09:40:57,220 - INFO - Batch 100 | Data: 0.001s | Step: 0.118s | Loss: 1.1825
2026-04-05 09:41:10,676 - INFO - Batch 150 | Data: 0.001s | Step: 0.118s | Loss: 1.0999
2026-04-05 09:41:24,128 - INFO - Batch 200 | Data: 0.001s | Step: 0.118s | Loss: 1.1834
2026-04-05 09:41:37,578 - INFO - Batch 250 | Data: 0.001s | Step: 0.118s | Loss: 1.0690
2026-04-05 09:41:51,032 - INFO - Batch 300 | Data: 0.001s | Step: 0.118s | Loss: 1.0963
2026-04-05 09:42:04,484 - INFO - Batch 350 | Data: 0.001s | Step: 0.118s | Loss: 1.0308
2026-04-05 09:42:26,257 - INFO - Batch 0 | Data: 0.054s | Step: 0.118s | Loss: 1.0709
